epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2771,1.32408,3.08068,1.41425,0.54373,0.13558,0.24608,0.15052,1.35987,2.86905,1.44656,0.000411932,0.000411932,0.000411932
2,30.4408,1.394,2.40502,1.46803,0.33487,0.25564,0.20487,0.12709,1.51565,3.04816,1.72578,0.000820395,0.000820395,0.000820395
3,44.2542,1.46297,2.34085,1.53869,0.24506,0.32688,0.20327,0.11176,1.50634,2.95387,1.70497,0.00122061,0.00122061,0.00122061
4,57.8155,1.45381,2.26971,1.53586,0.32911,0.34728,0.2593,0.14816,1.52974,2.65963,1.72689,0.00121287,0.00121287,0.00121287
5,71.6421,1.43363,2.16262,1.52799,0.38407,0.37483,0.30901,0.17831,1.41852,2.68266,1.55934,0.0012005,0.0012005,0.0012005
6,85.1044,1.42547,2.0526,1.48983,0.39919,0.42135,0.36965,0.21389,1.4624,2.00909,1.56873,0.00118812,0.00118812,0.00118812
7,98.5689,1.42349,2.04455,1.51392,0.39862,0.40453,0.34072,0.20407,1.41678,2.17428,1.54747,0.00117575,0.00117575,0.00117575
8,112.1,1.40085,1.92995,1.50098,0.33345,0.40703,0.30633,0.18516,1.37233,2.31554,1.56995,0.00116337,0.00116337,0.00116337
9,125.64,1.37162,1.94785,1.47169,0.44778,0.44042,0.40644,0.24839,1.386,1.91204,1.53347,0.001151,0.001151,0.001151
10,138.958,1.35887,1.81122,1.45659,0.45523,0.48178,0.40766,0.24145,1.35463,1.90137,1.52189,0.00113863,0.00113863,0.00113863
11,152.252,1.3575,1.83428,1.45287,0.43236,0.42544,0.39063,0.23603,1.37152,1.91939,1.53098,0.00112625,0.00112625,0.00112625
12,165.519,1.3374,1.73872,1.43739,0.51328,0.42195,0.40928,0.24703,1.37736,1.91187,1.52875,0.00111388,0.00111388,0.00111388
13,178.849,1.31294,1.73597,1.42731,0.54564,0.4354,0.44486,0.27608,1.37435,1.8432,1.50275,0.0011015,0.0011015,0.0011015
14,192.294,1.33327,1.69813,1.43757,0.41441,0.45095,0.38124,0.23266,1.36485,1.9283,1.53028,0.00108913,0.00108913,0.00108913
15,205.932,1.29265,1.69502,1.42673,0.46124,0.4487,0.40971,0.24463,1.33169,1.78486,1.48343,0.00107675,0.00107675,0.00107675
16,219.315,1.28945,1.64606,1.41412,0.48565,0.45918,0.43651,0.25971,1.40484,1.8831,1.54935,0.00106437,0.00106437,0.00106437
17,232.811,1.29373,1.63635,1.42345,0.48476,0.45797,0.429,0.26868,1.30573,1.70616,1.45599,0.001052,0.001052,0.001052
18,246.306,1.27201,1.5891,1.39637,0.46945,0.50346,0.46581,0.29144,1.34574,1.70758,1.49158,0.00103962,0.00103962,0.00103962
19,259.61,1.26521,1.54809,1.39193,0.48986,0.48533,0.45481,0.27304,1.3285,1.73333,1.51565,0.00102725,0.00102725,0.00102725
20,273.075,1.25145,1.58122,1.41017,0.4833,0.48247,0.4548,0.2838,1.29933,1.76731,1.45748,0.00101488,0.00101488,0.00101488
21,286.609,1.22342,1.49345,1.37055,0.54305,0.45136,0.44987,0.28121,1.30559,1.68137,1.46147,0.0010025,0.0010025,0.0010025
22,300.361,1.24694,1.53939,1.37925,0.47417,0.4872,0.45592,0.28234,1.29388,1.65984,1.46763,0.000990125,0.000990125,0.000990125
23,313.861,1.25909,1.48678,1.38194,0.48478,0.52234,0.48751,0.30349,1.27375,1.58809,1.41329,0.00097775,0.00097775,0.00097775
24,327.151,1.24008,1.45063,1.36219,0.48683,0.48086,0.46349,0.28319,1.31852,1.74826,1.47339,0.000965375,0.000965375,0.000965375
25,340.436,1.23903,1.47376,1.37066,0.49331,0.51071,0.47663,0.29993,1.27806,1.74014,1.46696,0.000953,0.000953,0.000953
26,353.83,1.25036,1.44778,1.36907,0.48956,0.49159,0.45394,0.28606,1.29516,1.71851,1.43704,0.000940625,0.000940625,0.000940625
27,367.055,1.22794,1.4617,1.35721,0.53006,0.4765,0.47572,0.30175,1.25424,1.61901,1.41958,0.00092825,0.00092825,0.00092825
28,380.29,1.22216,1.41294,1.35799,0.53245,0.53074,0.50768,0.31845,1.2903,1.55714,1.44474,0.000915875,0.000915875,0.000915875
29,393.602,1.19396,1.39255,1.33805,0.54221,0.47863,0.45228,0.29101,1.27149,1.68599,1.45453,0.0009035,0.0009035,0.0009035
30,407.282,1.21621,1.3684,1.35238,0.4923,0.45943,0.43809,0.27555,1.30456,1.76902,1.48408,0.000891125,0.000891125,0.000891125
31,420.759,1.17153,1.34496,1.3293,0.53719,0.49318,0.47707,0.30412,1.27707,1.63856,1.43589,0.00087875,0.00087875,0.00087875
32,434.119,1.16996,1.3412,1.32451,0.49808,0.52892,0.49955,0.32241,1.23801,1.5948,1.40443,0.000866375,0.000866375,0.000866375
33,447.542,1.20202,1.34671,1.32621,0.51712,0.50851,0.49046,0.31479,1.27711,1.67045,1.43771,0.000854,0.000854,0.000854
34,461.185,1.16739,1.34251,1.33363,0.54705,0.48773,0.48217,0.30831,1.23566,1.5751,1.39885,0.000841625,0.000841625,0.000841625
35,474.606,1.15556,1.30111,1.3185,0.50494,0.50563,0.47493,0.30591,1.26635,1.64859,1.41681,0.00082925,0.00082925,0.00082925
36,488.002,1.15584,1.28305,1.31411,0.52023,0.53055,0.509,0.32855,1.21787,1.61915,1.40026,0.000816875,0.000816875,0.000816875
37,501.396,1.17773,1.28478,1.32119,0.55532,0.51389,0.51305,0.32728,1.2313,1.54472,1.41651,0.0008045,0.0008045,0.0008045
38,514.835,1.13948,1.23397,1.29302,0.55432,0.52835,0.52324,0.32974,1.24794,1.53598,1.40928,0.000792125,0.000792125,0.000792125
39,528.277,1.14259,1.23819,1.30011,0.55158,0.50351,0.50784,0.31509,1.26817,1.58969,1.43058,0.00077975,0.00077975,0.00077975
40,541.602,1.13963,1.26334,1.31152,0.56655,0.47298,0.48128,0.30819,1.25174,1.62866,1.41721,0.000767375,0.000767375,0.000767375
41,555.219,1.14548,1.23003,1.29627,0.49886,0.46472,0.4282,0.26541,1.28504,1.76349,1.45334,0.000755,0.000755,0.000755
42,568.62,1.15197,1.21165,1.2995,0.50425,0.44007,0.44995,0.28048,1.28856,1.71731,1.4571,0.000742625,0.000742625,0.000742625
43,582.14,1.14746,1.21854,1.30596,0.53387,0.52723,0.51746,0.33283,1.23151,1.55791,1.39347,0.00073025,0.00073025,0.00073025
44,595.632,1.12417,1.18117,1.27761,0.56362,0.49189,0.50417,0.32226,1.25651,1.55614,1.41817,0.000717875,0.000717875,0.000717875
45,609.2,1.14256,1.18095,1.28653,0.53765,0.51399,0.50676,0.3227,1.24034,1.57831,1.40423,0.0007055,0.0007055,0.0007055
46,622.719,1.11442,1.14847,1.27882,0.5636,0.52697,0.52154,0.33469,1.21582,1.50927,1.39383,0.000693125,0.000693125,0.000693125
47,636.25,1.1106,1.11468,1.27383,0.48773,0.51898,0.46129,0.29489,1.21364,1.64831,1.40121,0.00068075,0.00068075,0.00068075
48,649.857,1.12359,1.15634,1.27954,0.56887,0.50918,0.52303,0.34208,1.23433,1.52471,1.38987,0.000668375,0.000668375,0.000668375
49,663.519,1.10554,1.10507,1.27498,0.54785,0.53432,0.51545,0.3346,1.23413,1.5185,1.39207,0.000656,0.000656,0.000656
50,676.957,1.07593,1.09547,1.2549,0.54308,0.52131,0.51079,0.33345,1.2345,1.48336,1.399,0.000643625,0.000643625,0.000643625
51,690.426,1.0978,1.08602,1.25753,0.51119,0.53175,0.50577,0.32842,1.22442,1.61401,1.40085,0.00063125,0.00063125,0.00063125
